 Posted Date, Card No., Description, Debit, Credit
11/5/2015,8446,THE UPS STORE 2269,10.57,
11/5/2015,8446,WAL-MART #5270,72.29,
11/5/2015,8446,WM SUPERCENTER #5270,138.07,
11/5/2015,1420,GOOGLE *ADWS7953673087,500,
11/4/2015,8446,COMCAST SALT LKE CS 1X,56.67,
11/4/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 04-NOV,,1500
11/5/2015,8446,HOLIDAY OIL # 54,15.5,
11/4/2015,8446,CHEVRON 00206240,25,
11/4/2015,8446,ST OF INDIANA DEPT,79,
11/4/2015,8446,MOTOR CARRIER SERV,2.57,
11/4/2015,8446,ADY*Netflix,8.53,
11/4/2015,1420,GREYHOUND LINES CNP,260.5,
11/3/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 03-NOV,,2002
11/4/2015,1420,AMERICAN AI 0012313979049,282.6,
11/3/2015,8446,WAL-MART #5270,469.03,
11/2/2015,8446,GREYHOUND LINES CNP,229.5,
11/2/2015,8446,GREYHOUND LINES CNP,313.5,
11/2/2015,8446,AMERICAN AI 0017692624448,137.1,
11/2/2015,8446,THE HOME DEPOT 4407,17.06,
11/2/2015,8446,HOLIDAY OIL # 54,35,
10/31/2015,8446,GREYHOUND LINES CNP,313.5,
10/31/2015,8446,GREYHOUND LINES CNP,249.5,
10/31/2015,8446,ST OF INDIANA DEPT,79,
10/31/2015,8446,MOTOR CARRIER SERV,2.57,
10/31/2015,8446,USPS 49663001534502450,1.24,
10/31/2015,1420,CLIMBER.COM 8003740120,280,
10/30/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 30-OCT,,2000
10/30/2015,8446,EVILSIZOR.COM,30,
10/30/2015,8446,FMCSA LICENSE REINS,80,
10/30/2015,8446,INTERSTATE AUTHORITY LLC,50,
10/30/2015,8446,INTERSTATE AUTHORITY LLC,50,
10/31/2015,8446,HOLIDAY OIL # 54,25,
10/30/2015,8446,EXXONMOBIL 47263868,35,
10/31/2015,8446,EXXONMOBIL 48075410,35.45,
10/28/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 28-OCT,,2003
10/29/2015,8446,EXXONMOBIL 47263868,25,
10/29/2015,8446,THE HOME DEPOT 4407,61.14,
10/28/2015,1420,GREYHOUND LINES CNP,264.5,
10/28/2015,1420,GOOGLE *ADWS7953673087,500,
10/28/2015,8446,HOLIDAY OIL # 54,25,
10/28/2015,1420,UNITED 0162468626030,340.6,
10/28/2015,1420,UNITED 0162468644768,345.6,
10/27/2015,8446,WM SUPERCENTER #5270,230.64,
10/26/2015,8446,UTAH CORPORATIONS REG,22,
10/26/2015,1420,CLIMBER.COM 8003740120,419,
10/26/2015,8446,HOLIDAY OIL # 54,30,
10/24/2015,8446,FMCSA NAME CHANGE,14,
10/24/2015,1420,GREYHOUND LINES CNP,313.5,
10/24/2015,8446,DEL TACO #1037 Q16,21.79,
10/24/2015,8446,HOLIDAY OIL # 54,40,
10/23/2015,1420,CLIMBER.COM 8003740120,35,
10/21/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 21-OCT,,1005
10/22/2015,8446,EXXONMOBIL 47263868,25,
10/21/2015,1420,GRYHNDLINES REF 5787,,244
10/21/2015,1420,GRYHNDLINES REF 5787,,220
10/21/2015,1420,CLIMBER.COM 8003740120,799,
10/29/2015,2788,ARV*ARVIXE,36,
10/20/2015,1420,GRYHNDLINES REF 5787,,244
10/21/2015,8446,BONDSEXPRESS.COM,104,
10/21/2015,8446,BONDSEXPRESS.COM,104,
10/21/2015,8446,BONDSEXPRESS.COM,104,
10/21/2015,8446,BONDSEXPRESS.COM,104,
10/19/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 19-OCT,,1000
10/20/2015,8446,POSTSCAN MAIL,24.9,
10/20/2015,8446,POSTSCAN MAIL,24.9,
10/20/2015,8446,POSTSCAN MAIL,24.9,
10/20/2015,8446,POSTSCAN MAIL,24.9,
10/19/2015,1420,GREYHOUND LINES CNP,288.5,
10/19/2015,1420,GREYHOUND LINES CNP,264.5,
10/19/2015,1420,GREYHOUND LINES CNP,240.5,
10/19/2015,8446,HOLIDAY OIL # 54,15.02,
10/19/2015,8446,HOLIDAY OIL # 54,10,
10/19/2015,8446,HOLIDAY OIL # 54,40.05,
10/17/2015,1420,AMAZON.COM AMZN.COM/BILL,8.05,
10/19/2015,8446,EXXONMOBIL 48075410,27.25,
10/15/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 15-OCT,,999
10/15/2015,8446,INTERSTATE AUTHORITY LLC,50,
10/15/2015,1420,GOOGLE *ADWS7953673087,500,
10/16/2015,8446,7-11 STORE 36330,5.13,
10/16/2015,8446,HOLIDAY OIL # 54,30,
10/15/2015,8446,HOLIDAY OIL # 54,41.45,
10/13/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 13-OCT,,1001
10/13/2015,8446,NATIONAL INDEMNITY CO,1772.15,
10/13/2015,8446,WM SUPERCENTER #5270,244.66,
10/13/2015,8446,WM SUPERCENTER #5270,97.5,
10/13/2015,8446,INTERSTATE AUTHORITY LLC,50,
10/12/2015,8446,HLU*Hulu 72444017-U,7.99,
10/12/2015,1420,GREYHOUND LINES CNP,264.5,
10/12/2015,8446,WIX.COM*113422281,6.9,
10/13/2015,8446,POSTSCAN MAIL,24.9,
10/12/2015,8446,EXXONMOBIL 47263868,45,
10/10/2015,2788,WWW CALLFIRE COM,277,
