 Posted Date, Card No., Description, Debit, Credit
12/4/2015,9356,ROCKY MOUNTAIN POWER,417.72,
12/3/2015,7952,AMAZON MKTPLACE PMTS,13.98,
12/3/2015,710,"GOLDEN FROG, INC.",14.99,
12/4/2015,1481,THE UPS STORE #4848,12.79,
12/4/2015,9356,QUESTAR GAS COMPANY,132.09,
12/4/2015,582,FEDEXOFFICE 00012302,11.24,
12/4/2015,7952,IN *BONDSEXPRESS SURETY A,124.8,
12/4/2015,2423,FEDEXOFFICE 00030957,13.31,
12/3/2015,7952,CLIMBER.COM 8003740120,1920,
12/3/2015,2423,FEDEXOFFICE 00001594,17.68,
12/4/2015,9356,PAYFLOW/PAYPAL,30,
12/3/2015,9356,HOLIDAY OIL # 54,2.75,
12/3/2015,7952,RIVERSIDE SUITES,70,
12/3/2015,7952,EMBARK SAFETY LLC,129.94,
12/2/2015,1138,SQ *GOSQ.COM CRAIG JENSEN,25,
12/2/2015,8400,USPS 49700401634502781,17.9,
12/2/2015,2794,PAYPAL *HMA PRO VPN,11.52,
12/2/2015,710,"RINGCENTRAL, INC",303.36,
12/1/2015,582,EXPEDIA*1122453776361,74,
12/1/2015,9356,IN *GLOBAL TRACKING COMMU,300,
12/1/2015,9356,MAVERIK #474,67.37,
12/1/2015,582,FEDEXOFFICE 00017210,19.11,
12/1/2015,7952,OR MOTOR CARRIER DIV - SA,16,
12/1/2015,7952,FEDEXOFFICE 00055962,22.35,
12/1/2015,710,WIX.COM*114747185,31.9,
11/30/2015,710,"GOLDEN FROG, INC.",14.99,
11/30/2015,2583,PETRO #326 N. LITTLE R,187.01,
11/30/2015,2583,PETRO #326 N. LITTLE R,269.95,
11/30/2015,9356,FEDEXOFFICE 00055962,18.25,
12/1/2015,2583,AMERICAN AI 0012315909374,486.6,
12/1/2015,2583,AMTRAK TELEP3336421531166,112,
12/1/2015,9356,HOLIDAY OIL # 54,38.71,
11/30/2015,1481,INTUIT *QB ONLINE,13.88,
11/30/2015,7952,GRYHNDLINES REF 5787,,290
11/30/2015,9356,DS WRECKER SERVICE,2645.82,
11/30/2015,2948,DAVINCI VIRTUAL OFFICE SO,50,
11/28/2015,2948,RMG*REGUS/HQ,59,
11/28/2015,2948,RMG*REGUS/HQ,63.99,
11/28/2015,7952,NATIONAL INDEMNITY CO,1242.72,
11/28/2015,7952,WIX.COM*114691064,9.9,
11/28/2015,2423,SAPP BROS SERVICE CENT,312.94,
11/28/2015,7952,EXXONMOBIL 48075410,20,
