 Posted Date, Card No., Description, Debit, Credit
12/7/2015,6424,K B D LEASING,5720,
12/7/2015,6424,HOLIDAY OIL # 54,1.38,
12/7/2015,6424,PETERBILT OF LITTLE ROCK,959.82,
12/7/2015,6424,MCCANDLESS RENTAL & LEASI,972.96,
12/5/2015,6424,NATIONAL LEASE OF UTAH,9543.92,
12/4/2015,6424,PETRO #322 ATLANTA,25.97,
12/3/2015,4461,CAPITAL ONE ONLINE PYMT AuthDate 03-DEC,,14000
12/3/2015,6424,LOANSTAR LEASING,720.56,
12/3/2015,6424,MCCANDLESS RENTAL & LEASI,669,
12/3/2015,6424,NATIONAL LEASE OF UTAH,10351.94,
12/1/2015,6424,WAL-MART #5270,95.1,
12/1/2015,6424,MAVERIK #474,449.99,
