 Posted Date, Card No., Description, Debit, Credit
11/11/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 11-NOV,,2500
11/11/2015,1420,GREYHOUND LINES CNP,238,
11/11/2015,1420,GREYHOUND LINES CNP,223.9,
11/11/2015,1420,GREYHOUND LINES CNP,249.5,
11/11/2015,1420,GREYHOUND LINES CNP,30,
11/10/2015,8446,THE UPS STORE 2269,21.31,
11/10/2015,8446,MAVERIK #399,25,
11/11/2015,1420,AMERICAN AI 0012314507525,192.6,
11/11/2015,1420,AMERICAN AI 0012314503518,194.1,
11/9/2015,1420,GREYHOUND LINES CNP,264.5,
11/7/2015,1420,Amazon.com,19.98,
11/9/2015,8446,EXXONMOBIL 47263868,39.61,
11/7/2015,8446,WAL-MART #5270,544.46,
11/7/2015,1420,GREYHOUND LINES CNP,249.5,
11/7/2015,1420,GREYHOUND LINES CNP,264.5,
11/7/2015,1420,GREYHOUND LINES CNP,238,
11/7/2015,1420,GREYHOUND LINES CNP,213.1,
11/7/2015,1420,FRONTIER AI H6QZSZ,203.19,
